Sale Date,Add Date,Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,My Bid
"09/17/2021","07/29/2021","292021CC025570A001HC","Accepting Proxy","2346.16","0","102369","SAVANNAH TRACE CONDOMINIUM ASSOCIATION INC","SAVANNAH TRACE CONDOMINIUM ASSOCIATION INC","HIDDEN","8350 SAVANNAH TRACE CIR 1702","TAMPA","33615","1729020FP000017017020U",""
"09/17/2021","08/19/2021","292020CC045121A001HC","Accepting Proxy","21192.35","0","0","CMLTI ASSET TRUST","CMLTI ASSET TRUST","21192.35","8807 N GREENWOOD AVE ","TAMPA ","33617 ","",""
"09/20/2021","06/14/2021","292018CA005366A001HC","Accepting Proxy","128356.39","0","133261","NATIONSTAR MORTGAGE LLC","NATIONSTAR MORTGAGE LLC","HIDDEN","1601 N ORANGE ST","PLANT CITY","33563","2228205B3000002000010P",""
"09/20/2021","08/16/2021","292018CA010101A001HC","Accepting Proxy","253987.70","0","203998","HOMEBRIDGE FINANCIAL SERVICES INC","HOMEBRIDGE FINANCIAL SERVICES INC","HIDDEN","10307 ASHLEY OAKS DR","RIVERVIEW","33578","2030172RB000004000380U",""
"09/20/2021","09/01/2021","292020CA009864A001HC","Accepting Proxy","180560.79","0","99934","U.S. BANK TRUST NATIONAL ASSOCIATION AS TRUSTEE OF THE CABANA SERIES IV TRUST","U.S. BANK TRUST NATIONAL ASSOCIATION AS TRUSTEE OF THE CABANA SERIES IV TRUST","180560.79","7018 PONDEROSA DR","TAMPA","33637","1928231IQ000009000070U",""
"09/21/2021","07/21/2021","292014CA001244A001HC","Accepting Proxy","399041.46","0","218717","US BANK NA","US BANK NA","HIDDEN","4950 BAYSHORE BLVD 31","TAMPA","33611","18301140A000000000310A",""
"09/22/2021","08/30/2021","292018CA005653A001HC","Accepting Proxy","69499.92","0","74892","U.S. BANK NATIONAL ASSOCIATION","U.S. BANK NATIONAL ASSOCIATION","HIDDEN","1703 E WARREN ST","PLANT CITY","33563","22282858B000000000280P",""
"09/22/2021","09/01/2021","292013CA006176A001HC","Accepting Proxy","217426.10","0","131066","BANK OF AMERICA NA","BANK OF AMERICA NA","HIDDEN","507 SUMMER SAILS DR","VALRICO","33594","2129205PBD00000000020U",""
"09/23/2021","07/15/2021","292010CA012613A001HC","Accepting Proxy","471113.89","0","376262","DEUTSCHE BANK NATIONAL TRUST COMPANY","DEUTSCHE BANK NATIONAL TRUST COMPANY","HIDDEN","15618 SHOAL CREEK PL","ODESSA","33556","17273102IF00000000190U",""
"09/23/2021","07/19/2021","292018CA007104A001HC","Accepting Proxy","450524.78","0","188784","DEUTSCHE BANK NATIONAL TRUST COMPANY ","DEUTSCHE BANK NATIONAL TRUST COMPANY ","HIDDEN","5604 CREST HILL DR","TAMPA","33615","1728350CK000008000300U",""
"09/23/2021","07/23/2021","292016CA006632A001HC","Accepting Proxy","71949.24","0","44345","Rosewood Gardens Of Tampa Bay Inc","Rosewood Gardens Of Tampa Bay Inc","HIDDEN","2800 E 113TH AVE 2 213","TAMPA","33612","192817432000002002130A",""
"09/23/2021","07/27/2021","292019CA008306A001HC","Accepting Proxy","443347.73","0","125032","THE BANK OF NEW YORK MELLON","THE BANK OF NEW YORK MELLON","HIDDEN","8002 CARRIAGE POINTE DR","GIBSONTON","33534","19303682PA00000000200U",""
"09/23/2021","07/30/2021","292018CA006921A001HC","Accepting Proxy","311989.64","0","232349","LAKEVIEW LOAN SERVICING LLC","LAKEVIEW LOAN SERVICING LLC","HIDDEN","3510 AUTUMN GLEN DR","VALRICO","33596","21300936V000018000100U",""
"09/23/2021","08/09/2021","292019CA001391A001HC","Accepting Proxy","167732.87","0","107431","FEDERAL NATIONAL MORTGAGE ASSOCIATION","FEDERAL NATIONAL MORTGAGE ASSOCIATION","HIDDEN","409 NE 13TH ST","RUSKIN","33570","1932041UY000003000030U",""
"09/23/2021","08/09/2021","292018CA008062A001HC","Accepting Proxy","204635.05","0","251378","JPMORGAN CHASE BANK NATIONAL ASSOCIATION","JPMORGAN CHASE BANK NATIONAL ASSOCIATION","HIDDEN","15119 NIGHTHAWK DR","TAMPA","33625","172736037000001000210U",""
"09/23/2021","08/10/2021","292020CA007046A001HC","Accepting Proxy","240369.62","0","287450","Ajax Mortgage Loan Trust 2019-E","Ajax Mortgage Loan Trust 2019-E","240369.62","18563 KINGBIRD DR","LUTZ","33558","1827160K2000000000260U",""
"09/23/2021","08/13/2021","292021CA002067A001HC","Accepting Proxy","166394.84","0","127524","Channelside Mortgages LLC","Channelside Mortgages LLC","HIDDEN","1510 S MILLER RD","VALRICO","33594","212931ZZZ000004178000U",""
"09/23/2021","08/20/2021","292016CA004630A001HC","Accepting Proxy","369135.80","0","169716","BANK OF NEW YORK MELLON","BANK OF NEW YORK MELLON","HIDDEN","10618 LOGAN CHASE LN","RIVERVIEW","33569","203117658H00000000080U",""
"09/24/2021","08/31/2021","292020CC054730A001HC","Accepting Proxy","13097.12","0","0","WESTWIND PLACE CONDOMINIUM ASSOCIATION INC","WESTWIND PLACE CONDOMINIUM ASSOCIATION INC","HIDDEN","","","","",""
"09/27/2021","07/27/2021","292019CA011082A001HC","Accepting Proxy","377769.06","0","275962","US BANK NATIONAL ASSOCIATION","US BANK NATIONAL ASSOCIATION","HIDDEN","817 BLUE HERON BLVD","RUSKIN","33570","1932071VG000000000230U",""
"09/27/2021","07/27/2021","292019CA008191A001HC","Accepting Proxy","157737.36","0","187200","U.S. BANK NATIONAL ASSOCIATION","U.S. BANK NATIONAL ASSOCIATION","HIDDEN","7504 MEADOW DR","TAMPA","33634","172825095000011000020U",""
"09/27/2021","07/27/2021","292013CA007420A001HC","Accepting Proxy","306673.44","0","163995","HSBC BANK USA, N.A.","HSBC BANK USA, N.A.","HIDDEN","3306 W CORDELIA ST","TAMPA","33607","1829103J5000049000030A",""
"09/27/2021","07/27/2021","292018CA009500A001HC","Accepting Proxy","419208.77","0","143809","US BANK TRUST NA","US BANK TRUST NA","HIDDEN","12630 ADVENTURE DR","RIVERVIEW","33579","20310569O000019000390U",""
"09/27/2021","07/28/2021","292015CA009874A001HC","Accepting Proxy","121303.72","0","102062","JPMORGAN CHASE BANK  NATIONAL ASSOCIATION","JPMORGAN CHASE BANK  NATIONAL ASSOCIATION","HIDDEN","4901 S 80TH ST","TAMPA","33619","1930011QP000019000120U",""
"09/27/2021","08/31/2021","292020CA000932A001HC","Accepting Proxy","272566.67","0","164755","PennyMac Loan Services, LLC","PennyMac Loan Services, LLC","HIDDEN","1906 REDMOND BROOK LN","RUSKIN","33570","1932049XK000030000090U",""
"09/27/2021","09/01/2021","292018CA002414A001HC","Accepting Proxy","270668.27","0","65982","U.S. BANK NATIONAL ASSOCIATION","U.S. BANK NATIONAL ASSOCIATION","HIDDEN","611 DESTINY DR 605 ","RUSKIN","33570","18320270T000003006050U",""
"09/28/2021","07/06/2021","292019CA009833A001HC","Accepting Proxy","303324.27","0","174502","THE BANK OF NEW YORK MELLON","THE BANK OF NEW YORK MELLON","HIDDEN","18110 CANAL POINTE ST","TAMPA","33647","2027095SH000002000130A",""
"09/29/2021","08/31/2021","292019CA009078A001HC","Accepting Proxy","159447.41","0","98521","BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A.","HIDDEN","3108 E HENRY AVE","TAMPA","33610","19283247V000000000080A",""
"09/29/2021","08/31/2021","292017CA004201A001HC","Accepting Proxy","175716.09","0","152611","NATIONSTAR MORTGAGE LLC","NATIONSTAR MORTGAGE LLC","HIDDEN","6806 S 20TH AVE","TAMPA","33619","192926663000001553200U",""
"09/29/2021","09/03/2021","292016CA001106A001HC","Accepting Proxy","96500.84","0","127729","CITIFINANCIAL SERVICING LLC","CITIFINANCIAL SERVICING LLC","HIDDEN","8414 N RIVER DUNE ST","TAMPA","33617","19282143V000000000420A",""
"09/30/2021","06/30/2021","292020CA006845A001HC","Accepting Proxy","368368.93","0","182119","Shorecrest Investment Fund LLC","Shorecrest Investment Fund LLC","HIDDEN","5209 BOGDONOFF DR LOT A","SEFFNER","33584","202903276000000005010U",""
"09/30/2021","07/16/2021","292019CA005653A001HC","Accepting Proxy","367661.76","0","184510","THE BANK OF NEW YORK MELLON","THE BANK OF NEW YORK MELLON","HIDDEN","8048 CANTERBURY LAKE BLVD","TAMPA","33619","19293675PB00000000170U",""
"09/30/2021","07/30/2021","292016CA008758A001HC","Accepting Proxy","98559.55","0","146375","WELLS FARGO BANK NATIONAL ASSOCIATION","WELLS FARGO BANK NATIONAL ASSOCIATION","HIDDEN","6404 N 23RD ST","TAMPA","33610","19283247Z000002000020A",""
"09/30/2021","07/30/2021","292018CA004680A001HC","Accepting Proxy","278244.33","0","161397","U.S. BANK NATIONAL ASSOCIATION ","U.S. BANK NATIONAL ASSOCIATION ","HIDDEN","1602 PORTSMOUTH LAKE DR","BRANDON","33511","2029332IYA00000000400U",""
"09/30/2021","07/30/2021","292019CA006491A001HC","Accepting Proxy","111934.77","0","77297","REVERSE MORTGAGE SOLUTIONS INC","REVERSE MORTGAGE SOLUTIONS INC","HIDDEN","12415 TOCCI LN","RIVERVIEW","33579","2031022U8000011000090U",""
"09/30/2021","08/18/2021","292019CA007768A001HC","Accepting Proxy","443449.20","0","406444","SELENE FINANCE LP","SELENE FINANCE LP","HIDDEN","15218 OCTAVIA LN","ODESSA","33556","17273572S000000000240U",""
"09/30/2021","08/27/2021","292018CA007276A001HC","Accepting Proxy","74451.57","0","98366","CALIBER HOME LOANS INC","CALIBER HOME LOANS INC","HIDDEN","1807 MILL RUN CIR","TAMPA","33613","1828020TU000001000013U",""
"09/30/2021","08/30/2021","292013CA009150A001HC","Accepting Proxy","443449.20","0","406444","CITIMORTGAGE INC","CITIMORTGAGE INC","HIDDEN","15218 OCTAVIA LN","ODESSA","33556","17273572S000000000240U",""
"09/30/2021","08/31/2021","292019CA010824A001HC","Accepting Proxy","493770.15","0","0","BANK OF AMERICA NA","BANK OF AMERICA NA","HIDDEN","","","","",""
"09/30/2021","09/01/2021","292018CA005497A001HC","Accepting Proxy","278259.76","0","193739","NATIONSTAR MORTGAGE LLC","NATIONSTAR MORTGAGE LLC","HIDDEN","3001 S FORBES RD","DOVER","33527","212910ZZZ000003985100U",""
"09/30/2021","09/01/2021","292019CA010081A001HC","Accepting Proxy","175956.97","0","114357","First Guaranty Mortgage Corporation","First Guaranty Mortgage Corporation","HIDDEN","6044 FLORA TER","APOLLO BEACH","33572","1931221TN000002000201U",""
"10/01/2021","07/21/2021","292016CC000299A001HC","Accepting Proxy","8982.08","0","0","Villages of Bloomingdale I Homeowners Association Inc","Villages of Bloomingdale I Homeowners Association Inc","HIDDEN","","","","",""
"10/01/2021","08/02/2021","292020CA006718A001HC","Accepting Proxy","179685.70","0","146612","DEUTSCHE BANK NATIONAL TRUST COMPANY","DEUTSCHE BANK NATIONAL TRUST COMPANY","HIDDEN","12217 HIDDEN BROOK DR","TAMPA","33624","1828180XE000001000480U",""
"10/01/2021","08/10/2021","292020CC032145A001HC","Accepting Proxy","4274.78","0","0","Royal Hills Homeowners Association, Inc.","Royal Hills Homeowners Association, Inc.","HIDDEN","","","","",""
"10/01/2021","08/10/2021","292021CC009306A001HC","Accepting Proxy","18539.41","0","0","Equestrian Parc at Highwoods Preserve Condominium Association, Inc","Equestrian Parc at Highwoods Preserve Condominium Association, Inc","HIDDEN","","","","",""
"10/01/2021","08/13/2021","292021CC038217A001HC","Accepting Proxy","11827.09","0","101886","RIVER OAKS CONDOMINIUM II ASSOCIATION, INC.","RIVER OAKS CONDOMINIUM II ASSOCIATION, INC.","HIDDEN","5138 PURITAN CIR 1322","TAMPA","33617","1928281KX000013013220U",""
"10/01/2021","08/17/2021","292021CC023846A001HC","Accepting Proxy","9142.89","0","179306","VISTA PALMS COMMUNITY ASSOCIATION INC","VISTA PALMS COMMUNITY ASSOCIATION INC","HIDDEN","16936 PEACEFUL VALLEY DR","WIMAUMA","33598","203218A3U000019000060U",""
"10/01/2021","08/23/2021","292020CC072575A001HC","Accepting Proxy","9571.88","0","134681","Magdalene Court Condominium Association, Inc.","Magdalene Court Condominium Association, Inc.","HIDDEN","3166 VALLEY OAKS DR","TAMPA","33618","1828030U8000000004010U",""
"10/01/2021","08/27/2021","292016CA000915A001HC","Accepting Proxy","135824.82","0","148529","BANK OF NEW YORK MELLON","BANK OF NEW YORK MELLON","HIDDEN","2735 CONCH HOLLOW DR","BRANDON","33511","203003718000008000050U",""
"10/01/2021","08/27/2021","292015CA000615A001HC","Accepting Proxy","202958.46","0","201180","NEW YORK COMMUNITY BANK","NEW YORK COMMUNITY BANK","HIDDEN","14704 WILLET WAY","TAMPA","33625","17280103T000006000360U",""
"10/01/2021","08/27/2021","292018CA006907A001HC","Accepting Proxy","447348.74","0","234382","DITECH FINANCIAL LLC","DITECH FINANCIAL LLC","HIDDEN","6410 COQUINA ISLAND CV","APOLLO BEACH","33572","19312179K000002000100U",""
"10/01/2021","09/08/2021","292020CC027625A001HC","Accepting Proxy","24181.28","0","211041","Toscana Townhomes Property Owners Association, Inc","Toscana Townhomes Property Owners Association, Inc","HIDDEN","3110 TOSCANA CIR","TAMPA","33611","18301070DC00000000140A",""
"10/04/2021","08/03/2021","292018CA003360A001HC","Accepting Proxy","104805.99","0","134091","Bank of America NA","Bank of America NA","HIDDEN","4525 HAMPSHIRE RD","TAMPA","33634","1729010E5000001000360U",""
"10/04/2021","08/03/2021","292018CA002983A001HC","Accepting Proxy","6097.17","0","99587","JERVIC HOLDINGS LLC","JERVIC HOLDINGS LLC","HIDDEN","6010 N 32ND ST","TAMPA","33610","192832480000000000132A",""
"10/04/2021","08/06/2021","292014CA008867A001HC","Accepting Proxy","269758.20","0","198803","Reverse Mortgage Solutions Inc","Reverse Mortgage Solutions Inc","HIDDEN","2941 W BEACH ST","TAMPA","33607","1829154PT000023000090A",""
"10/06/2021","06/15/2021","292020CC074777A001HC","Accepting Proxy","11458.58","0","57901","ALLEGRO PALM CONDOMINIUM ASSOCIATION INC","ALLEGRO PALM CONDOMINIUM ASSOCIATION INC","HIDDEN","5519 LEGACY CRESCENT PL 104","RIVERVIEW","33578","203006904005519001040U",""
"10/06/2021","08/03/2021","292020CA000084A001HC","Accepting Proxy","133810.65","0","89116","U.S. BANK NATIONAL ASSOCIATION, AS TRUSTEE","U.S. BANK NATIONAL ASSOCIATION, AS TRUSTEE","HIDDEN","2909 E 19TH AVE","TAMPA","33605","1929084VU000011000050A",""
"10/06/2021","08/17/2021","292020CA005116A001HC","Accepting Proxy","122914.54","0","0","MUNGER AND STONE LLP","MUNGER AND STONE LLP","HIDDEN","","","","",""
"10/06/2021","09/09/2021","292019CA003723A001HC","Accepting Proxy","135602.83","0","90428","US Bank National Association","US Bank National Association","HIDDEN","2418 S RAMONA CIR","TAMPA","33612","19282045T000003000070A",""
"10/07/2021","08/04/2021","292019CA012626A001HC","Accepting Proxy","0","0","0","THE BANK OF NEW YORK MELLON","THE BANK OF NEW YORK MELLON","HIDDEN","","","","",""
"10/07/2021","08/05/2021","292018CA006862A001HC","Accepting Proxy","0","0","0","MTGLQ INVESTORS, L.P.","MTGLQ INVESTORS, L.P.","HIDDEN","","","","",""
"10/07/2021","08/05/2021","292015CA006203A001HC","Accepting Proxy","0","0","0","GTE Federal Credit Union ","GTE Federal Credit Union ","HIDDEN","","","","",""
"10/07/2021","08/05/2021","292017CA008225A001HC","Accepting Proxy","0","0","0","U.S. BANK NATIONAL ASSOCIATION ","U.S. BANK NATIONAL ASSOCIATION ","HIDDEN","","","","",""
"10/07/2021","08/06/2021","292015CA006748A001HC","Accepting Proxy","0","0","0","Deutsche Bank National Trust Company","Deutsche Bank National Trust Company","HIDDEN","","","","",""
"10/07/2021","08/06/2021","292019CA010053A001HC","Accepting Proxy","0","0","0","NATIONSTAR MORTGAGE LLC","NATIONSTAR MORTGAGE LLC","HIDDEN","","","","",""
"10/07/2021","08/06/2021","292020CA002862A001HC","Accepting Proxy","0","0","0","Wells Fargo Bank, National Association, as Trustee","Wells Fargo Bank, National Association, as Trustee","HIDDEN","","","","",""
"10/07/2021","08/10/2021","292019CA010725A001HC","Accepting Proxy","440926.18","0","303163","FREEDOM MORTGAGE CORPORATION","FREEDOM MORTGAGE CORPORATION","HIDDEN","12062 STONE CROSSING CIR","TAMPA","33635","17282006U000001000380U",""
"10/07/2021","08/13/2021","292021CA002483A001HC","Accepting Proxy","665232.40","0","791300","RH FL 4, LLC","RH FL 4, LLC","HIDDEN","6845 N DALE MABRY HWY","TAMPA","33614","18283317N000009000070U",""
"10/07/2021","08/18/2021","292019CA008816A001HC","Accepting Proxy","176212.59","0","140708","CALIBER HOME LOANS, INC","CALIBER HOME LOANS, INC","HIDDEN","641 ALLEGHENY DR","SUN CITY CENTER","33573","2032061UIDB0000000240U",""
"10/07/2021","08/24/2021","292016CA006717A001HC","Accepting Proxy","0","0","0","US BANK NA","US BANK NA","HIDDEN","","","","",""
"10/07/2021","08/31/2021","292015CA006581A001HC","Accepting Proxy","253270.27","0","247070","Wilmington Trust Company","Wilmington Trust Company","HIDDEN","19707 WYNDMILL CIR","ODESSA","33556","17270200A000004000420U",""
"10/07/2021","09/01/2021","292020CA002093A001HC","Accepting Proxy","285265.91","0","183619","Mortgage Research Center LLC","Mortgage Research Center LLC","HIDDEN","10023 CRESTED FRINGE DR","RIVERVIEW","33578","203030A35000000000720U",""
"10/07/2021","09/08/2021","292021CA000424A001HC","Accepting Proxy","0","0","0","NATIONSTAR MORTGAGE LLC","NATIONSTAR MORTGAGE LLC","HIDDEN","","","","",""
"10/07/2021","09/08/2021","292014CA010305A001HC","Accepting Proxy","204156.76","0","113440","LAKEVIEW LOAN SERVICING LLC","LAKEVIEW LOAN SERVICING LLC","HIDDEN","6709 LAKE CAMDEN WAY","GIBSONTON","33534","19311167K000020000080U",""
"10/07/2021","09/08/2021","292021CA000646A001HC","Accepting Proxy","0","0","0","THE MONEY SOURCE INC","THE MONEY SOURCE INC","HIDDEN","","","","",""
"10/08/2021","08/05/2021","292021CA001124A001HC","Accepting Proxy","0","0","0","CITIMORTGAGE, INC.","CITIMORTGAGE, INC.","HIDDEN","","","","",""
"10/08/2021","08/05/2021","292020CA001317A001HC","Accepting Proxy","0","0","0","Lakeview Loan Servicing LLC","Lakeview Loan Servicing LLC","HIDDEN","","","","",""
"10/08/2021","08/05/2021","292020CA006718A001HC","Accepting Proxy","0","0","0","DEUTSCHE BANK NATIONAL TRUST COMPANY","DEUTSCHE BANK NATIONAL TRUST COMPANY","HIDDEN","","","","",""
"10/08/2021","08/17/2021","292018CC016932A001HC","Accepting Proxy","0","0","0","LAKEWOOD RIDGE TOWNHOMES ASSOCIATION, INC.","LAKEWOOD RIDGE TOWNHOMES ASSOCIATION, INC.","HIDDEN","","","","",""
"10/08/2021","08/19/2021","292020CC088977A001HC","Accepting Proxy","0","0","0","The Temple Terrace Patio Homes Condominium Association, Inc.","The Temple Terrace Patio Homes Condominium Association, Inc.","HIDDEN","","","","",""
"10/11/2021","08/11/2021","292018CA008588A001HC","Accepting Proxy","0","0","0","LAKEVIEW LOAN SERVICING LLC","LAKEVIEW LOAN SERVICING LLC","HIDDEN","","","","",""
"10/11/2021","08/12/2021","292020CA001537A001HC","Accepting Proxy","0","0","0","City Adventures, LLC","City Adventures, LLC","HIDDEN","","","","",""
"10/11/2021","08/13/2021","292015CA010340A001HC","Accepting Proxy","0","0","0","US Bank National Association","US Bank National Association","HIDDEN","","","","",""
"10/12/2021","08/10/2021","292019CA010542A001HC","Accepting Proxy","0","0","0","GTE FEDERAL CREDIT UNION","GTE FEDERAL CREDIT UNION","HIDDEN","","","","",""
"10/12/2021","08/11/2021","292016CA006443A001HC","Accepting Proxy","0","0","0","JAMES B NUTTER COMPANY","JAMES B NUTTER COMPANY","HIDDEN","","","","",""
"10/14/2021","06/21/2021","292015CA002645A001HC","Accepting Proxy","0","0","0","RBS Financial Products Inc","RBS Financial Products Inc","HIDDEN","","","","",""
"10/14/2021","07/14/2021","292019CA009802A001HC","Accepting Proxy","0","0","0","JPMORGAN CHASE BANK  NATIONAL ASSOCIATION","JPMORGAN CHASE BANK  NATIONAL ASSOCIATION","HIDDEN","","","","",""
"10/14/2021","08/26/2021","292021CA000191A001HC","Accepting Proxy","0","0","0","HUNT, MARVIN","HUNT, MARVIN","HIDDEN","","","","",""
"10/14/2021","09/09/2021","292015CA008960A001HC","Accepting Proxy","0","0","0","SELENE FINANCE LP","SELENE FINANCE LP","HIDDEN","","","","",""
"10/14/2021","09/09/2021","292009CA029098A001HC","Accepting Proxy","0","0","0","BANK OF AMERICA NA","BANK OF AMERICA NA","HIDDEN","","","","",""
"10/14/2021","09/09/2021","292018CA004148A001HC","Accepting Proxy","0","0","0","US BANK NATIONAL ASSOCIATION","US BANK NATIONAL ASSOCIATION","HIDDEN","","","","",""
"10/14/2021","09/10/2021","292019CA007236A001HC","Accepting Proxy","0","0","0","NATIONSTAR MORTGAGE LLC","NATIONSTAR MORTGAGE LLC","HIDDEN","","","","",""
"10/15/2021","07/15/2021","292021CC035239A001HC","Accepting Proxy","0","0","0","VISTA PALMS COMMUNITY ASSOCIATION INC","VISTA PALMS COMMUNITY ASSOCIATION INC","HIDDEN","","","","",""
"10/15/2021","08/27/2021","292019CC053131A001HC","Accepting Proxy","0","0","0","Heritage Isles Golf & Country Club Community Association, Inc","Heritage Isles Golf & Country Club Community Association, Inc","HIDDEN","","","","",""
"10/15/2021","08/27/2021","292020CC005886A001HC","Accepting Proxy","0","0","0","STONEGATE AT AYERSWORTH COMMUNITY ASSOCIATION INC","STONEGATE AT AYERSWORTH COMMUNITY ASSOCIATION INC","HIDDEN","","","","",""
"10/18/2021","08/16/2021","292019CA008314A001HC","Accepting Proxy","0","0","0","Nationstar Mortgage LLC","Nationstar Mortgage LLC","HIDDEN","","","","",""
"10/18/2021","08/17/2021","292019CA007204A001HC","Accepting Proxy","0","0","0","NATIONSTAR MORTGAGE LLC","NATIONSTAR MORTGAGE LLC","HIDDEN","","","","",""
"10/18/2021","08/19/2021","292019CA005114A001HC","Accepting Proxy","0","0","0","REVERSE MORTGAGE FUNDING LLC","REVERSE MORTGAGE FUNDING LLC","HIDDEN","","","","",""
"10/18/2021","08/23/2021","292019CA008812A001HC","Accepting Proxy","0","0","0","QUICKEN LOANS INC","QUICKEN LOANS INC","HIDDEN","","","","",""
"10/19/2021","08/05/2021","292016CA005776A001HC","Accepting Proxy","0","0","0","FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE","FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE","HIDDEN","","","","",""
"10/19/2021","08/18/2021","292021CA001866A001HC","Accepting Proxy","0","0","0","THE BANK OF NEW YORK MELLON","THE BANK OF NEW YORK MELLON","HIDDEN","","","","",""
"10/19/2021","08/19/2021","292019CA004429A001HC","Accepting Proxy","0","0","0","LAKEVIEW LOAN SERVICING LLC","LAKEVIEW LOAN SERVICING LLC","HIDDEN","","","","",""
"10/19/2021","08/19/2021","292018CA010264A001HC","Accepting Proxy","0","0","0","LAKEVIEW LOAN SERVICING, LLC","LAKEVIEW LOAN SERVICING, LLC","HIDDEN","","","","",""
"10/19/2021","08/24/2021","292017CA007608A001HC","Accepting Proxy","0","0","0","FBC MORTGAGE LLC","FBC MORTGAGE LLC","HIDDEN","","","","",""
"10/19/2021","08/24/2021","292016CA011569A001HC","Accepting Proxy","0","0","0","MIDFLORIDA CREDIT UNION","MIDFLORIDA CREDIT UNION","HIDDEN","","","","",""
"10/20/2021","07/26/2021","292015CA004688A001HC","Accepting Proxy","0","0","0","DEUTSCHE BANK NATIONAL TRUST COMPANY","DEUTSCHE BANK NATIONAL TRUST COMPANY","HIDDEN","","","","",""
"10/20/2021","08/31/2021","292020CA006120A001HC","Accepting Proxy","0","0","0","Wells Fargo Bank National Association","Wells Fargo Bank National Association","HIDDEN","","","","",""
"10/20/2021","09/01/2021","292020CA009752A001HC","Accepting Proxy","0","0","0","HSBC BANK USA NATIONAL ASSOCIATION","HSBC BANK USA NATIONAL ASSOCIATION","HIDDEN","","","","",""
"10/20/2021","09/01/2021","292020CA000712A001HC","Accepting Proxy","0","0","0","Midfirst Bank","Midfirst Bank","HIDDEN","","","","",""
"10/22/2021","08/23/2021","292021CC019009A001HC","Accepting Proxy","0","0","0","Bordeaux Village Condominium Association Inc","Bordeaux Village Condominium Association Inc","HIDDEN","","","","",""
"10/22/2021","09/08/2021","292021CC016699A001HC","Accepting Proxy","0","0","0","Bloomingdale DD Homeowners Association Inc","Bloomingdale DD Homeowners Association Inc","HIDDEN","","","","",""
